STARTING WEB3 connection
Blck: 2, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 3, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 4, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 5, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 6, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 7, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 8, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 9, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 10, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 11, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 12, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 13, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 14, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 15, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 16, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 17, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 18, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 19, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 20, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 21, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 22, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 23, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 24, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 25, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 26, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 27, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 28, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 29, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 30, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 31, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 32, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 33, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 34, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 35, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 36, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 37, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 38, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 39, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 40, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 41, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 42, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 43, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 44, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 45, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 46, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 47, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 48, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 49, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 50, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 51, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
